Symbol,Name,Last Sale,Share %0.001
ABCM,Abcam plc American Depositary Shares,$22.45,85461
ACHL,Achilles Therapeutics plc American Depositary Shares,$4.46,41602
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$3.68,93609
ALKS,Alkermes plc Ordinary Shares,$23.14,31244
AMYT,Amryt Pharma plc American Depositary Shares,$9.76,95383
ARBK,Argo Blockchain plc American Depositary Shares,$13.06,59463
ARGX,argenx SE American Depositary Shares,$307.57,96890
ARVL,Arrival Ordinary Shares,$7.40,7818
ASML,ASML Holding N.V. New York Registry Shares,$792.22,99254
ASND,Ascendis Pharma A/S American Depositary Shares,$134.15,62688
ASPS,Altisource Portfolio Solutions S.A. Common Stock,$10.66,82101
AUTL,Autolus Therapeutics plc American Depositary Share,$5.64,42009
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$37.16,20805
AZN,AstraZeneca PLC American Depositary Shares,$55.72,58087
BCYC,Bicycle Therapeutics plc American Depositary Shares,$51.80,66982
BNTX,BioNTech SE American Depositary Share,$287.05,3916
CALT,Calliditas Therapeutics AB American Depositary Shares,$18.64,68514
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$53.54,68597
CMPR,Cimpress plc Ordinary Shares (Ireland),$70.86,29265
CMPS,COMPASS Pathways Plc American Depository Shares,$23.73,51024
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$11.02,59367
CPLP,Capital Product Partners L.P. Common Units,$15.40,30693
CRTO,Criteo S.A. American Depositary Shares,$40.79,1623
DBVT,DBV Technologies S.A. American Depositary Shares,$2.70,17416
DOX,Amdocs Limited Ordinary Shares,$73.97,45150
ENDP,Endo International plc Ordinary Shares,$4.32,38439
ERIC,Ericsson American Depositary Shares,$10.55,19733
ERYP,Erytech Pharma S.A. American Depositary Shares,$2.30,72840
EVO,Evotec SE American Depositary Shares,$25.10,21467
EXAI,Exscientia Plc American Depositary Shares,$19.70,91657
FRLN,Freeline Therapeutics Holdings plc American Depositary Shares,$2.17,57035
GASS,StealthGas Inc. Common Stock,$2.36,32998
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),$25.77,69798
GBLIL,Global Indemnity Group LLC 7.875% Subordinated Notes due 2047,$25.8999,18515
GLPG,Galapagos NV American Depositary Shares,$52.38,54193
GLTO,Galecto Inc. Common Stock,$2.38,9659
GMAB,Genmab A/S ADS,$36.50,79000
GNFT,GENFIT S.A. American Depositary Shares,$3.2672,30875
GRFS,Grifols S.A. American Depositary Shares,$10.50,12323
GRUB,Just Eat Takeaway.com N.V. American Depositary Shares,$10.57,65434
GTX,Garrett Motion Inc. Common Stock,$7.63,42012
GTXAP,Garrett Motion Inc. Series A Cumulative Convertible Preferred Stock,$8.15,39964
HHR,HeadHunter Group PLC American Depositary Shares,$50.72,43285
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$106.73,71370
